image,blur,laplacian_var,occlusion_low_contrast,contrast,lighting
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000186.jpg,No,987.09,No,53.81,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000188.jpg,No,771.98,No,32.14,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000190.jpg,Yes,75.75,No,50.98,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000194.jpg,No,369.27,No,48.72,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000195.jpg,No,949.62,No,0.00,Unknown
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000200.jpg,No,1607.11,No,61.44,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000201.jpg,No,514.72,No,44.92,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000202.jpg,No,975.92,No,63.85,Too Dark
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000203.jpg,No,391.56,No,47.47,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000204.jpg,No,1588.62,No,55.03,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000205.jpg,No,276.74,Yes,27.14,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000206.jpg,No,1097.83,No,55.85,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000207.jpg,No,630.34,No,37.77,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000208.jpg,No,1005.47,No,31.66,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000209.jpg,No,751.04,No,50.72,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000211.jpg,No,297.08,No,38.24,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000213.jpg,No,678.09,No,52.06,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000214.jpg,No,378.86,No,88.91,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000215.jpg,No,848.18,No,55.30,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000216.jpg,No,623.88,No,61.44,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000217.jpg,No,789.28,No,85.96,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000218.jpg,No,567.55,No,58.12,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000219.jpg,No,3385.71,No,0.00,Unknown
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000221.jpg,No,1951.06,No,49.37,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000222.jpg,No,361.93,Yes,14.90,Too Dark
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000224.jpg,No,1710.14,No,48.96,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000225.jpg,No,627.94,No,57.20,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000226.jpg,No,685.96,No,66.14,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000227.jpg,No,1445.34,No,91.41,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000229.jpg,No,105.64,No,43.59,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000230.jpg,No,870.10,No,69.83,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000231.jpg,No,309.87,No,82.43,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000232.jpg,No,382.11,No,51.37,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000233.jpg,No,1079.19,No,75.69,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000234.jpg,No,195.61,No,30.53,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000235.jpg,No,1169.83,Yes,28.54,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000236.jpg,No,494.47,No,46.43,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000237.jpg,No,584.52,No,52.88,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000239.jpg,No,642.81,No,56.85,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000240.jpg,No,815.73,No,40.20,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000241.jpg,No,314.25,No,65.95,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000247.jpg,No,156.44,No,65.04,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000249.jpg,No,475.27,No,64.29,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000250.jpg,No,677.16,No,47.05,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000251.jpg,No,5914.37,No,51.87,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000252.jpg,No,355.14,No,40.68,Too Dark
