epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,1611.47,0.81149,0.44968,1.03683,0.94035,0.95072,0.97355,0.75127,0.88584,0.42981,1.07471,0.00027321,0.00027321,0.00027321
73,1633.89,0.78804,0.4351,1.01401,0.93119,0.94388,0.96854,0.72414,0.9223,0.43189,1.10464,0.000268041,0.000268041,0.000268041
74,1656.07,0.79598,0.4381,1.02047,0.95887,0.94274,0.97629,0.75012,0.86688,0.41686,1.07121,0.000262864,0.000262864,0.000262864
75,1678.16,0.79148,0.43603,1.02278,0.94637,0.93765,0.97464,0.74978,0.87705,0.41608,1.06486,0.000257683,0.000257683,0.000257683
76,1700.46,0.79053,0.43752,1.01629,0.94859,0.95037,0.97334,0.74701,0.87751,0.4092,1.06963,0.0002525,0.0002525,0.0002525
77,1722.56,0.78581,0.43793,1.02018,0.95082,0.9354,0.97472,0.7511,0.87188,0.43281,1.07322,0.000247317,0.000247317,0.000247317
78,1744.92,0.79878,0.44242,1.01952,0.94846,0.95065,0.97617,0.75444,0.86869,0.41117,1.06471,0.000242136,0.000242136,0.000242136
79,1767.39,0.76869,0.4207,1.00285,0.9556,0.95122,0.97769,0.7526,0.87646,0.41298,1.07205,0.000236959,0.000236959,0.000236959
80,1789.62,0.77491,0.42426,1.01015,0.96417,0.93872,0.97841,0.74804,0.87483,0.41018,1.06925,0.00023179,0.00023179,0.00023179
81,1811.94,0.77175,0.42102,1.0076,0.94882,0.96423,0.97807,0.74744,0.90788,0.42276,1.08248,0.000226629,0.000226629,0.000226629
82,1834.33,0.75425,0.40755,0.9917,0.95127,0.94971,0.97769,0.75438,0.88828,0.41174,1.07299,0.00022148,0.00022148,0.00022148
83,1856.79,0.76561,0.41442,0.99957,0.94885,0.95946,0.97926,0.76242,0.85105,0.39865,1.0563,0.000216344,0.000216344,0.000216344
84,1879.01,0.75769,0.4077,1.00322,0.95363,0.95236,0.97688,0.75981,0.85445,0.40314,1.06109,0.000211225,0.000211225,0.000211225
85,1901.37,0.74874,0.40176,0.99884,0.95128,0.95629,0.97835,0.76652,0.82712,0.39409,1.04426,0.000206123,0.000206123,0.000206123
86,1923.84,0.75188,0.40796,1.0011,0.94577,0.95723,0.97954,0.76581,0.83308,0.39286,1.05152,0.000201042,0.000201042,0.000201042
